Other,Cases,Cases,Deceased,Deceased,Recovered,Cases,Critical,1M pop,1M pop
Country  Other,Total Cases,New Cases,Total Deceased,New Deceased,Total Recovered,Active Cases,Serious  Critical,Tot&nbsp Cases 1M pop,Deaths 1M pop,Reported 1 st  case,
USA,176518,12730,3431,290,6241,166846,3893,533,10,Jan20,
Italy,105792,4053,12428,837,15729,77635,4023,1750,206,Jan29,
Spain,94417,6461,8269,553,19259,66889,5607,2019,177,Jan30,
China,81518,79,3305,5,76052,2161,528,57,2,Jan10,
Germany,68180,1295,682,37,15824,51674,1979,814,8,Jan26,
France,52128,7578,3523,499,9444,39161,5056,799,54,Jan23,
Iran,44605,3110,2898,141,14656,27051,3703,531,35,Feb18,
UK,25150,3009,1789,381,135,23226,163,370,26,Jan30,
Switzerland,16186,264,395,36,1823,13968,301,1870,46,Feb24,
Turkey,13531,2704,214,46,243,13074,622,160,3,Mar09,
Belgium,12775,876,705,192,1696,10374,1021,1102,61,Feb03,
Netherlands,12595,845,1039,175,250,11306,1053,735,61,Feb26,
Austria,10109,491,128,20,1095,8886,198,1122,14,Feb24,
S.Korea,9786,125,162,4,5408,4216,55,191,3,Jan19,
Canada,8467,1019,95,6,1162,7210,120,224,3,Jan24,
Portugal,7443,1035,160,20,43,7240,188,730,16,Mar01,
Israel,4831,136,20,4,163,4648,83,558,2,Feb20,
Brazil,4715,85,168,5,127,4420,296,22,0.8,Feb24,
Norway,4605,160,39,7,13,4553,97,849,7,Feb25,
Australia,4561,101,19,,337,4205,28,179,0.7,Jan24,
Sweden,4435,407,180,34,16,4239,358,439,18,Jan30,
Czechia,3257,256,31,8,45,3181,64,304,3,Feb29,
Ireland,2910,,54,,5,2851,103,589,11,Feb28,
Denmark,2860,283,90,13,1,2769,145,494,16,Feb26,
Malaysia,2766,140,43,6,537,2186,94,85,1,Jan24,
Chile,2738,289,12,4,156,2570,14,143,0.6,Mar02,
Russia,2337,501,17,8,121,2199,8,16,0.1,Jan30,
Romania,2245,136,80,15,220,1945,62,117,4,Feb25,
Ecuador,2240,274,75,13,54,2111,100,127,4,Feb28,
Poland,2215,160,32,1,7,2176,50,59,0.8,Mar03,
Luxembourg,2178,190,23,1,80,2075,31,3479,37,Feb28,
Philippines,2084,538,88,10,49,1947,1,19,0.8,Jan29,
Japan,1953,,56,,424,1473,56,15,0.4,Jan14,
Pakistan,1914,197,26,5,76,1812,12,9,0.1,Feb25,
Thailand,1651,127,10,1,342,1299,23,24,0.1,Jan12,
SaudiArabia,1563,110,10,2,165,1388,31,45,0.3,Mar01,
Indonesia,1528,114,136,14,81,1311,,6,0.5,Mar01,
Finland,1418,66,17,4,10,1391,56,256,3,Jan28,
SouthAfrica,1353,27,3,,31,1319,7,23,0.05,Mar04,
Greece,1314,102,49,3,52,1213,72,126,5,Feb25,
India,1251,,32,,102,1117,,0.9,0.02,Jan29,
Iceland,1135,49,2,,198,935,11,3326,6,Feb27,
DominicanRepublic,1109,208,51,9,5,1053,,102,5,Feb29,
Mexico,1094,101,28,8,35,1031,1,8,0.2,Feb27,
Panama,1075,,27,,9,1039,43,249,6,Mar09,
Peru,1065,115,24,,53,988,49,32,0.7,Mar05,
Argentina,966,146,26,3,240,700,,21,0.6,Mar02,
Singapore,926,47,3,,240,683,22,158,0.5,Jan22,
Serbia,900,115,23,7,42,835,62,103,3,Mar05,
Croatia,867,77,6,,67,794,32,211,1,Feb24,
Slovenia,802,46,15,4,10,777,24,386,7,Mar03,
Colombia,798,,14,,15,769,29,16,0.3,Mar05,
Estonia,745,30,4,1,26,715,13,562,3,Feb26,
Algeria,716,132,44,9,46,626,,16,1,Feb24,
HongKong,714,31,4,,128,582,5,95,0.5,Jan22,
DiamondPrincess,712,,10,,603,99,15,,,Feb04,
Qatar,693,,1,,51,641,6,241,0.3,Feb28,
UAE,664,53,6,1,61,597,2,67,0.6,Jan28,
Egypt,656,,41,,150,465,,6,0.4,Feb13,
NewZealand,647,58,1,,74,572,2,134,0.2,Feb27,
Iraq,630,,46,,152,432,,16,1,Feb21,
Morocco,602,46,36,3,24,542,1,16,1.0,Mar01,
Bahrain,567,52,4,,295,268,2,333,2,Feb23,
Ukraine,549,1,13,,8,528,,13,0.3,Mar02,
Lithuania,537,46,8,1,7,522,27,197,3,Feb27,
Armenia,532,50,3,,30,499,30,180,1,Feb29,
Hungary,492,45,16,1,37,439,6,51,2,Mar03,
Lebanon,463,17,12,1,37,414,7,68,2,Feb20,
BosniaandHerzegovina,411,43,12,2,17,382,1,125,4,Mar04,
Bulgaria,399,40,8,,17,374,14,57,1,Mar06,
Latvia,398,22,,,1,397,3,211,,Mar01,
Andorra,370,,8,,10,352,10,4789,104,Mar01,
Slovakia,363,27,,,3,360,1,66,,Mar05,
Tunisia,362,,10,1,3,349,10,31,0.8,Mar01,
Moldova,353,55,4,2,18,331,44,88,1.0,Mar06,
Kazakhstan,340,38,2,1,22,316,6,18,0.1,Mar12,
CostaRica,330,,2,,4,324,7,65,0.4,Mar04,
NorthMacedonia,329,44,9,2,12,308,4,158,4,Feb25,
Taiwan,322,16,5,,39,278,,14,0.2,Jan20,
Uruguay,320,,1,,25,294,9,92,0.3,Mar12,
Azerbaijan,298,25,5,1,26,267,11,29,0.5,Feb27,
Kuwait,289,23,,,73,216,13,68,,Feb23,
Jordan,274,6,5,,30,239,5,27,0.5,Mar01,
Cyprus,262,32,8,1,23,231,3,217,7,Mar08,
BurkinaFaso,261,15,14,2,32,215,,12,0.7,Mar08,
R&eacuteunion,247,23,,,1,246,4,276,,Mar10,
Albania,243,20,15,4,52,176,8,84,5,Mar07,
SanMarino,230,,25,,13,192,16,6778,737,Feb26,
Vietnam,207,3,,,58,149,3,2,,Jan22,
Cameroon,193,54,6,,5,182,,7,0.2,Mar05,
Oman,192,13,,,34,158,3,38,,Feb23,
Cuba,186,16,6,2,8,172,3,16,0.5,Mar10,
Senegal,175,13,,,40,135,,10,,Mar01,
Afghanistan,174,4,4,,5,165,,4,0.1,Feb23,
FaeroeIslands,169,1,,,74,95,3,3459,,Mar03,
Malta,169,13,,,2,167,2,383,,Mar06,
IvoryCoast,168,,1,,6,161,,6,0.04,Mar10,
Uzbekistan,167,18,2,,7,158,8,5,0.06,Mar14,
Ghana,161,9,5,,31,125,1,5,0.2,Mar11,
Belarus,152,,1,1,47,104,2,16,0.1,Feb27,
Mauritius,143,15,4,1,,139,1,112,3,Mar17,
SriLanka,142,20,2,,17,123,5,7,0.09,Jan26,
Honduras,141,2,7,,3,131,4,14,0.7,Mar10,
ChannelIslands,141,,3,1,,138,,811,17,Mar08,
Venezuela,135,,3,,39,93,6,5,0.1,Mar12,
Nigeria,135,4,2,,8,125,,0.7,0.01,Feb27,
Brunei,129,2,1,,45,83,3,295,2,Mar08,
Martinique,119,26,2,1,27,90,15,317,5,Mar04,
Palestine,117,,1,,18,98,,23,0.2,Mar04,
Georgia,110,7,,,21,89,6,28,,Feb25,
Montenegro,109,18,2,1,,107,1,174,3,Mar16,
Cambodia,109,2,,,23,86,1,7,,Jan26,
Bolivia,107,10,6,2,,101,3,9,0.5,Mar09,
Kyrgyzstan,107,13,,,3,104,,16,,Mar17,
Guadeloupe,106,,4,,17,85,10,265,10,Mar12,
DRC,98,17,8,,2,88,,1,0.09,Mar09,
Mayotte,94,12,1,1,10,83,3,345,4,Mar13,
TrinidadandTobago,85,2,3,,1,81,,61,2,Mar11,
Rwanda,70,,,,,70,,5,,Mar13,
Gibraltar,69,,,,34,35,,2048,,Mar02,
Liechtenstein,68,6,,,,68,,1783,,Mar02,
Paraguay,65,1,3,,1,61,3,9,0.4,Mar06,
IsleofMan,60,11,,,,60,,706,,Mar18,
Kenya,59,9,1,,1,57,2,1,0.02,Mar12,
Aruba,55,5,,,1,54,,515,,Mar12,
Monaco,52,3,1,,2,49,,1325,25,Feb27,
Bangladesh,51,2,5,,25,21,1,0.3,0.03,Mar07,
Madagascar,46,3,,,,46,6,2,,Mar19,
FrenchGuiana,43,,,,6,37,,144,,Mar06,
Macao,41,3,,,10,31,,63,,Jan21,
Guatemala,36,,1,,10,25,1,2,0.06,Mar12,
Jamaica,36,,1,,2,33,,12,0.3,Mar09,
FrenchPolynesia,36,,,,,36,2,128,,Mar10,
Zambia,35,,,,,35,,2,,Mar17,
Togo,34,4,1,,10,23,,4,0.1,Mar05,
Barbados,34,1,,,,34,,118,,Mar16,
Uganda,33,,,,,33,,0.7,,Mar20,
ElSalvador,32,2,,,,32,5,5,,Mar18,
Djibouti,30,12,,,,30,,30,,Mar17,
Mali,28,3,2,,,26,,1,0.10,Mar24,
Niger,27,,3,,,24,,1,0.1,Mar18,
Bermuda,27,,,,10,17,,434,,Mar17,
Ethiopia,26,3,,,2,24,2,0.2,,Mar12,
Guinea,22,,,,,22,,2,,Mar12,
Tanzania,19,,1,1,1,17,,0.3,0.02,Mar15,
Congo,19,,,,,19,,3,,Mar14,
Maldives,18,1,,,13,5,,33,,Mar06,
Gabon,16,9,1,,,15,,7,0.4,Mar12,
NewCaledonia,16,1,,,,16,,56,,Mar17,
Myanmar,15,1,1,1,,14,,0.3,0.02,Mar22,
SaintMartin,15,,1,,2,12,,388,26,Feb29,
