Tue Apr 28 23:00:02 ,Recovered,Cases,Critical,1M pop,1M pop,111
//source[iColIndex]=isthecellvalue(DATATHATNEEDSTOBESORTED,    .main_table_countries th>* {,,111
Country  Other,Total Cases,New Cases,Total Deceased,New Deceased,Total Recovered,Active Cases,Serious  Critical,Tot&nbsp Cases 1M pop,Deaths 1M pop,Total Tests,,Continent,,111
USA,1019823,9467,57601,804,139927,822295,14145,3081,174,5763128,17411,NorthAmerica,,111
Spain,232128,2706,23822,301,123903,84403,7764,4965,510,1345560,28779,Europe,,111
Italy,201505,2091,27359,382,68941,105205,1863,3333,453,1846934,30547,Europe,,111
France,165842,,23293,,45513,97036,4608,2541,357,463662,7103,Europe,,111
Germany,159137,379,6174,48,117400,35563,2409,1899,74,2072669,24738,Europe,,111
China,82836,6,4633,,77555,648,50,58,3,,,Asia,,111
UK,157149,,21092,,N/A,135713,1559,2315,311,719910,10605,Europe,,111
Turkey,114653,2392,2992,92,38809,72852,1621,1359,35,948115,11242,Asia,,111
Russia,93558,6411,867,73,8456,84235,2300,641,6,3139258,21511,Europe,,111
Iran,92584,1112,5877,71,72439,14268,2983,1102,70,442590,5269,Asia,,111
Brazil,68188,1687,4674,131,31142,32372,8318,321,22,339552,1597,SouthAmerica,,111
Canada,49025,525,2766,59,18268,27991,557,1299,73,740859,19629,NorthAmerica,,111
Belgium,47334,647,7331,124,10943,29060,876,4084,633,220204,19000,Europe,,111
Netherlands,38416,171,4566,48,N/A,33600,861,2242,266,209726,12240,Europe,,111
India,29451,,939,,7137,21375,,21,0.7,716733,519,Asia,,111
Switzerland,29264,100,1699,34,22200,5365,185,3381,196,256500,29637,Europe,,111
Peru,28699,,782,,8425,19492,598,870,24,239563,7266,SouthAmerica,,111
Portugal,24322,295,948,20,1389,21985,172,2385,93,360155,35321,Europe,,111
Ecuador,23240,,663,,1557,21020,146,1317,38,61529,3487,SouthAmerica,,111
SaudiArabia,20077,1266,152,8,2784,17141,118,577,4,200000,5745,Asia,,111
Ireland,19648,,1102,,9233,9313,146,3979,223,127319,25785,Europe,,111
Sweden,19621,695,2355,81,1005,16261,524,1943,233,119500,11833,Europe,,111
Israel,15589,34,208,4,7375,8006,117,1801,24,302691,34971,Asia,,111
Mexico,15529,852,1434,83,9086,5009,378,120,11,71103,551,NorthAmerica,,111
Austria,15357,83,569,20,12580,2208,140,1705,63,239578,26601,Europe,,111
Singapore,14951,528,14,,1128,13809,20,2556,2,121774,20815,Asia,,111
Pakistan,14514,599,312,20,3233,10969,111,66,1,157223,712,Asia,,111
Chile,14365,552,207,9,7710,6448,426,751,11,166165,8692,SouthAmerica,,111
Japan,13614,,385,,1899,11330,300,108,3,150692,1191,Asia,,111
Poland,12218,316,596,34,2655,8967,160,323,16,310744,8211,Europe,,111
Belarus,12208,919,79,4,1993,10136,92,1292,8,161028,17041,Europe,,111
Qatar,11921,677,10,,1134,10777,72,4138,3,88607,30755,Asia,,111
Romania,11616,277,663,22,3404,7549,243,604,34,150309,7813,Europe,,111
UAE,11380,541,89,7,2181,9110,1,1151,9,1057326,106904,Asia,,111
S.Korea,10752,14,244,1,8854,1654,55,210,5,608514,11869,Asia,,111
Indonesia,9511,415,773,8,1254,7484,,35,3,79618,291,Asia,,111
Ukraine,9410,401,239,19,992,8179,121,215,5,98719,2257,Europe,,111
Denmark,8851,153,434,7,6121,2296,66,1528,75,166846,28805,Europe,,111
Serbia,8497,222,168,6,1260,7069,79,972,19,73363,8396,Europe,,111
Philippines,7958,181,530,19,975,6453,31,73,5,89889,820,Asia,,111
Norway,7619,20,206,1,32,7381,44,1405,38,165951,30611,Europe,,111
Czechia,7486,41,225,2,2942,4319,73,699,21,226255,21128,Europe,,111
Australia,6731,11,84,1,5626,1021,42,264,3,530679,20811,Australia/Oceania,,111
Bangladesh,6462,549,155,3,139,6168,1,39,0.9,54733,332,Asia,,111
DominicanRepublic,6416,123,286,4,1165,4965,144,591,26,23979,2210,NorthAmerica,,111
Panama,6021,242,167,2,455,5399,89,1395,39,27834,6451,NorthAmerica,,111
Malaysia,5851,31,100,1,4032,1719,36,181,3,152142,4701,Asia,,111
Colombia,5597,,253,,1210,4134,118,110,5,90899,1786,SouthAmerica,,111
Egypt,5042,260,359,22,1304,3379,,49,4,90000,879,Africa,,111
SouthAfrica,4793,,90,,1473,3230,36,81,2,178470,3009,Africa,,111
Finland,4740,45,199,6,2800,1741,56,855,36,85800,15485,Europe,,111
Morocco,4252,132,165,3,778,3309,1,115,4,32250,874,Africa,,111
Argentina,4003,,197,,1140,2666,144,89,4,51900,1148,SouthAmerica,,111
Luxembourg,3741,12,89,1,3123,529,19,5976,142,39741,63486,Europe,,111
Algeria,3649,132,437,5,1651,1561,40,83,10,6500,148,Africa,,111
Moldova,3638,157,103,1,975,2560,212,902,26,11763,2916,Europe,,111
Kuwait,3440,152,23,1,1176,2241,67,806,5,179000,41915,Asia,,111
Kazakhstan,3019,184,25,,754,2240,41,161,1,216276,11518,Asia,,111
Thailand,2938,7,54,2,2652,232,61,42,0.8,178083,2551,Asia,,111
Bahrain,2810,87,8,,1246,1556,2,1651,5,121260,71263,Asia,,111
Hungary,2649,66,291,11,516,1842,49,274,30,67172,6953,Europe,,111
Greece,2566,32,138,2,577,1851,40,246,13,69833,6700,Europe,,111
Oman,2131,82,10,,364,1757,3,417,2,,,Asia,,111
Croatia,2047,8,63,4,1232,752,21,499,15,33577,8179,Europe,,111
Uzbekistan,1939,35,8,,992,939,8,58,0.2,242536,7247,Asia,,111
Iraq,1928,81,90,2,1319,519,,48,2,73782,1834,Asia,,111
Armenia,1867,59,30,1,866,971,10,630,10,19296,6512,Asia,,111
Afghanistan,1828,125,58,1,228,1542,7,47,1,9000,231,Asia,,111
Iceland,1795,3,10,,1624,161,1,5260,29,46377,135906,Europe,,111
Azerbaijan,1717,39,22,,1221,474,15,169,2,132640,13082,Asia,,111
Cameroon,1705,,58,,805,842,12,64,2,,,Africa,,111
Estonia,1660,13,50,,240,1370,9,1251,38,49527,37336,Europe,,111
BosniaandHerzegovina,1585,20,63,3,682,840,4,483,19,27603,8413,Europe,,111
Ghana,1550,,11,,155,1384,4,50,0.4,100622,3238,Africa,,111
NewZealand,1472,3,19,,1214,239,1,305,4,126066,26143,Australia/Oceania,,111
